Date,Open,High,Low,Close,Adj Close,Volume
2019-11-15,350.640015,352.799988,348.359985,352.170013,352.170013,4809000
2019-11-18,352.920013,353.149994,346.100006,349.989990,349.989990,4400400
2019-11-19,351.750000,359.989990,347.799988,359.519989,359.519989,7724800
2019-11-20,360.000000,361.200012,349.570007,352.220001,352.220001,6725100
2019-11-21,354.510010,360.839996,354.000000,354.829987,354.829987,6110000
2019-11-22,340.160004,341.000000,330.000000,333.040009,333.040009,16870600
2019-11-25,344.320007,344.570007,334.459991,336.339996,336.339996,12339500
2019-11-26,335.269989,335.500000,327.100006,328.920013,328.920013,7947400
2019-11-27,331.119995,333.929993,328.570007,331.290009,331.290009,5555600
2019-11-29,331.109985,331.260010,327.500000,329.940002,329.940002,2465600
2019-12-02,329.399994,336.380005,328.690002,334.869995,334.869995,6074500
2019-12-03,332.619995,337.910004,332.190002,336.200012,336.200012,6573700
2019-12-04,337.750000,337.859985,332.850006,333.029999,333.029999,5533000
2019-12-05,332.829987,334.420013,327.250000,330.369995,330.369995,3724600
2019-12-06,335.000000,338.859985,334.769989,335.890015,335.890015,7612400
2019-12-09,336.589996,344.450012,335.079987,339.529999,339.529999,9023100
2019-12-10,339.959991,350.730011,339.309998,348.839996,348.839996,8828300
2019-12-11,351.880005,357.190002,351.089996,352.700012,352.700012,6897800
2019-12-12,354.920013,362.739990,353.230011,359.679993,359.679993,7763900
2019-12-13,361.049988,365.209991,354.640015,358.390015,358.390015,6570900
2019-12-16,362.549988,383.609985,362.500000,381.500000,381.500000,18174200
2019-12-17,378.989990,385.500000,375.899994,378.989990,378.989990,8496800
2019-12-18,380.630005,395.220001,380.579987,393.149994,393.149994,14121000
2019-12-19,397.320007,406.850006,396.500000,404.040009,404.040009,18107100
2019-12-20,410.290009,413.000000,400.190002,405.589996,405.589996,14752700
2019-12-23,411.779999,422.010010,410.000000,419.220001,419.220001,13319600
2019-12-24,418.359985,425.470001,412.690002,425.250000,425.250000,8054700
2019-12-26,427.910004,433.480011,426.350006,430.940002,430.940002,10633900
2019-12-27,435.000000,435.309998,426.109985,430.380005,430.380005,9945700
2019-12-30,428.790009,429.000000,409.260010,414.700012,414.700012,12586400
2019-12-31,405.000000,421.290009,402.079987,418.329987,418.329987,10285700
2020-01-02,424.500000,430.700012,421.709991,430.260010,430.260010,9532100
2020-01-03,440.500000,454.000000,436.920013,443.010010,443.010010,17778500
2020-01-06,440.470001,451.559998,440.000000,451.540009,451.540009,10133000
2020-01-07,461.399994,471.630005,453.359985,469.059998,469.059998,17882100
2020-01-08,473.700012,498.489990,468.230011,492.140015,492.140015,31144300
2020-01-09,497.100006,498.799988,472.869995,481.339996,481.339996,28440400
2020-01-10,481.790009,484.940002,473.700012,478.149994,478.149994,12959500
2020-01-13,493.500000,525.630005,492.000000,524.859985,524.859985,26517600
2020-01-14,544.260010,547.409973,524.900024,537.919983,537.919983,28996200
2020-01-15,529.760010,537.840027,516.789978,518.500000,518.500000,17368800
2020-01-16,493.750000,514.460022,492.170013,513.489990,513.489990,21736700
2020-01-17,507.609985,515.669983,503.160004,510.500000,510.500000,13629100
2020-01-21,530.250000,548.580017,528.409973,547.200012,547.200012,17803500
2020-01-22,571.890015,594.500000,559.099976,569.559998,569.559998,31369000
2020-01-23,564.250000,582.000000,555.599976,572.200012,572.200012,19651000
2020-01-24,570.630005,573.859985,554.260010,564.820007,564.820007,14353600
2020-01-27,541.989990,564.440002,539.280029,558.020020,558.020020,13608100
2020-01-28,568.489990,576.809998,558.080017,566.900024,566.900024,11788500
2020-01-29,575.690002,589.799988,567.429993,580.989990,580.989990,17801500
2020-01-30,632.419983,650.880005,618.000000,640.809998,640.809998,29005700
2020-01-31,640.000000,653.000000,632.520020,650.570007,650.570007,15719300
2020-02-03,673.690002,786.140015,673.520020,780.000000,780.000000,47233500
2020-02-04,882.960022,968.989990,833.880005,887.059998,887.059998,60938800
2020-02-05,823.260010,845.979980,704.109985,734.700012,734.700012,48423800
2020-02-06,699.919983,795.830017,687.000000,748.960022,748.960022,39880800
2020-02-07,730.549988,769.750000,730.000000,748.070007,748.070007,17063500
2020-02-10,800.000000,819.989990,752.400024,771.280029,771.280029,24689200
2020-02-11,768.789978,783.510010,758.000000,774.380005,774.380005,11697500
2020-02-12,777.869995,789.750000,763.369995,767.289978,767.289978,12022500
2020-02-13,741.840027,818.000000,735.000000,804.000000,804.000000,26289300
2020-02-14,787.219971,812.969971,785.500000,800.030029,800.030029,15693700
2020-02-18,841.599976,860.000000,832.359985,858.400024,858.400024,16381700
2020-02-19,923.500000,944.780029,901.020020,917.419983,917.419983,25423000
2020-02-20,911.950012,912.000000,859.940002,899.409973,899.409973,17634900
2020-02-21,906.979980,913.059998,880.450012,901.000000,901.000000,14314800
2020-02-24,839.000000,863.500000,822.200012,833.789978,833.789978,15192200
2020-02-25,849.000000,856.599976,787.000000,799.909973,799.909973,17290500
2020-02-26,782.500000,813.309998,776.109985,778.799988,778.799988,14085500
2020-02-27,730.000000,739.770020,669.000000,679.000000,679.000000,24277200
2020-02-28,629.700012,690.520020,611.520020,667.989990,667.989990,24564200
2020-03-02,711.260010,743.690002,686.669983,743.619995,743.619995,20195000
2020-03-03,805.000000,806.979980,716.109985,745.510010,745.510010,25784000
2020-03-04,763.960022,766.520020,724.729980,749.500000,749.500000,15049000
2020-03-05,723.770020,745.750000,718.070007,724.539978,724.539978,10852700
2020-03-06,690.000000,707.000000,684.270020,703.479980,703.479980,12662900
2020-03-09,605.390015,663.000000,605.000000,608.000000,608.000000,17073700
2020-03-10,659.429993,668.000000,608.000000,645.330017,645.330017,15594400
2020-03-11,640.200012,653.580017,613.000000,634.229980,634.229980,13322500
2020-03-12,580.890015,594.500000,546.250000,560.549988,560.549988,18909100
2020-03-13,595.000000,607.570007,502.000000,546.619995,546.619995,22640300
2020-03-16,469.500000,494.869995,442.170013,445.070007,445.070007,20489500
2020-03-17,440.010010,471.850006,396.000000,430.200012,430.200012,23994600
2020-03-18,389.000000,404.859985,350.510010,361.220001,361.220001,23786200
2020-03-19,374.700012,452.000000,358.459991,427.640015,427.640015,30195500
2020-03-20,438.200012,477.000000,425.790009,427.529999,427.529999,28285500
2020-03-23,433.600006,442.000000,410.500000,434.290009,434.290009,16454500
2020-03-24,477.299988,513.690002,474.000000,505.000000,505.000000,22895200
2020-03-25,545.250000,557.000000,511.109985,539.250000,539.250000,21222700
2020-03-26,547.390015,560.000000,512.250000,528.159973,528.159973,17380700
2020-03-27,505.000000,525.799988,494.029999,514.359985,514.359985,14377400
2020-03-30,510.260010,516.650024,491.230011,502.130005,502.130005,11998100
2020-03-31,501.250000,542.960022,497.000000,524.000000,524.000000,17771500
2020-04-01,504.000000,513.950012,475.100006,481.559998,481.559998,13353200
2020-04-02,481.029999,494.260010,446.399994,454.470001,454.470001,19858400
2020-04-03,509.500000,515.489990,468.390015,480.010010,480.010010,22562100
2020-04-06,511.200012,521.000000,497.959991,516.239990,516.239990,14901800
