Date,Open,High,Low,Close,Adj Close,Volume
2019-11-15,1318.939941,1334.880005,1314.280029,1334.869995,1334.869995,1782600
2019-11-18,1332.219971,1335.529053,1317.500000,1320.699951,1320.699951,1487400
2019-11-19,1327.699951,1327.699951,1312.800049,1315.459961,1315.459961,1269200
2019-11-20,1311.739990,1315.000000,1291.150024,1303.050049,1303.050049,1308600
2019-11-21,1301.479980,1312.589966,1293.000000,1301.349976,1301.349976,995500
2019-11-22,1305.619995,1308.729980,1291.410034,1295.339966,1295.339966,1385700
2019-11-25,1299.180054,1311.310059,1298.130005,1306.689941,1306.689941,1036200
2019-11-26,1309.859985,1314.800049,1305.089966,1313.550049,1313.550049,1069700
2019-11-27,1315.000000,1318.359985,1309.630005,1312.989990,1312.989990,995600
2019-11-29,1307.119995,1310.204956,1303.969971,1304.959961,1304.959961,587000
2019-12-02,1301.000000,1305.829956,1281.000000,1289.920044,1289.920044,1510900
2019-12-03,1279.569946,1298.461060,1279.000000,1295.280029,1295.280029,1143800
2019-12-04,1307.010010,1325.800049,1304.869995,1320.540039,1320.540039,1537500
2019-12-05,1328.000000,1329.358032,1316.439941,1328.130005,1328.130005,1212700
2019-12-06,1333.439941,1344.000000,1333.439941,1340.619995,1340.619995,1314800
2019-12-09,1338.040039,1359.449951,1337.839966,1343.560059,1343.560059,1354300
2019-12-10,1341.500000,1349.974976,1336.040039,1344.660034,1344.660034,1094100
2019-12-11,1350.839966,1351.199951,1342.670044,1345.020020,1345.020020,850400
2019-12-12,1345.939941,1355.775024,1340.500000,1350.270020,1350.270020,1281000
2019-12-13,1347.949951,1353.093018,1343.869995,1347.829956,1347.829956,1549600
2019-12-16,1356.500000,1364.680054,1352.670044,1361.170044,1361.170044,1397300
2019-12-17,1362.890015,1365.000000,1351.322998,1355.119995,1355.119995,1854000
2019-12-18,1356.599976,1360.469971,1351.000000,1352.619995,1352.619995,1522600
2019-12-19,1351.819946,1358.099976,1348.984985,1356.040039,1356.040039,1469900
2019-12-20,1363.349976,1363.640015,1349.000000,1349.589966,1349.589966,3315000
2019-12-23,1355.869995,1359.800049,1346.510010,1348.839966,1348.839966,883100
2019-12-24,1348.500000,1350.260010,1342.780029,1343.560059,1343.560059,347500
2019-12-26,1346.170044,1361.327026,1344.469971,1360.400024,1360.400024,667500
2019-12-27,1362.989990,1364.530029,1349.310059,1351.890015,1351.890015,1038400
2019-12-30,1350.000000,1353.000000,1334.020020,1336.140015,1336.140015,1050900
2019-12-31,1330.109985,1338.000000,1329.084961,1337.020020,1337.020020,961800
2020-01-02,1341.550049,1368.140015,1341.550049,1367.369995,1367.369995,1406600
2020-01-03,1347.859985,1372.500000,1345.543945,1360.660034,1360.660034,1186400
2020-01-06,1350.000000,1396.500000,1350.000000,1394.209961,1394.209961,1732300
2020-01-07,1397.939941,1402.989990,1390.380005,1393.339966,1393.339966,1502700
2020-01-08,1392.079956,1411.579956,1390.839966,1404.319946,1404.319946,1528000
2020-01-09,1420.569946,1427.329956,1410.270020,1419.829956,1419.829956,1500900
2020-01-10,1427.560059,1434.928955,1418.349976,1429.729980,1429.729980,1820700
2020-01-13,1436.130005,1440.520020,1426.020020,1439.229980,1439.229980,1652300
2020-01-14,1439.010010,1441.800049,1428.369995,1430.880005,1430.880005,1558900
2020-01-15,1430.209961,1441.395020,1430.209961,1439.199951,1439.199951,1282700
2020-01-16,1447.439941,1451.989990,1440.920044,1451.699951,1451.699951,1173700
2020-01-17,1462.910034,1481.295044,1458.219971,1480.390015,1480.390015,2396200
2020-01-21,1479.119995,1491.849976,1471.199951,1484.400024,1484.400024,2036700
2020-01-22,1491.000000,1503.213989,1484.930054,1485.949951,1485.949951,1610800
2020-01-23,1487.640015,1495.520020,1482.099976,1486.650024,1486.650024,1351200
2020-01-24,1493.589966,1495.494995,1465.250000,1466.709961,1466.709961,1784600
2020-01-27,1431.000000,1438.069946,1421.199951,1433.900024,1433.900024,1755200
2020-01-28,1443.000000,1456.000000,1432.469971,1452.560059,1452.560059,1577400
2020-01-29,1458.800049,1465.430054,1446.739990,1458.630005,1458.630005,1077700
2020-01-30,1439.959961,1457.280029,1436.400024,1455.839966,1455.839966,1339400
2020-01-31,1468.900024,1470.130005,1428.530029,1434.229980,1434.229980,2417200
2020-02-03,1462.000000,1490.000000,1458.989990,1485.939941,1485.939941,3055200
2020-02-04,1457.069946,1469.500000,1426.300049,1447.069946,1447.069946,3933000
2020-02-05,1462.420044,1463.839966,1430.560059,1448.229980,1448.229980,1986200
2020-02-06,1450.329956,1482.000000,1449.569946,1476.229980,1476.229980,1679400
2020-02-07,1467.300049,1485.839966,1466.349976,1479.229980,1479.229980,1172300
2020-02-10,1474.319946,1509.500000,1474.319946,1508.680054,1508.680054,1419900
2020-02-11,1511.810059,1529.630005,1505.637939,1508.790039,1508.790039,1344600
2020-02-12,1514.479980,1520.694946,1508.109985,1518.270020,1518.270020,1167600
2020-02-13,1512.689941,1527.180054,1504.599976,1514.660034,1514.660034,929500
2020-02-14,1515.599976,1520.739990,1507.339966,1520.739990,1520.739990,1197800
2020-02-18,1515.000000,1531.630005,1512.589966,1519.670044,1519.670044,1120700
2020-02-19,1525.069946,1532.105957,1521.400024,1526.689941,1526.689941,949300
2020-02-20,1522.000000,1529.640015,1506.819946,1518.150024,1518.150024,1096600
2020-02-21,1508.030029,1512.214966,1480.439941,1485.109985,1485.109985,1731700
2020-02-24,1426.109985,1436.969971,1411.390015,1421.589966,1421.589966,2867100
2020-02-25,1433.000000,1438.140015,1382.400024,1388.449951,1388.449951,2478300
2020-02-26,1396.140015,1415.699951,1379.000000,1393.180054,1393.180054,2202400
2020-02-27,1362.060059,1371.703979,1317.170044,1318.089966,1318.089966,2978300
2020-02-28,1277.500000,1341.140015,1271.000000,1339.329956,1339.329956,3790600
2020-03-02,1351.609985,1390.869995,1326.814941,1389.109985,1389.109985,2431500
2020-03-03,1399.420044,1410.150024,1332.000000,1341.390015,1341.390015,2402300
2020-03-04,1359.229980,1388.089966,1343.109985,1386.520020,1386.520020,1913300
2020-03-05,1350.199951,1358.910034,1305.099976,1319.040039,1319.040039,2561300
2020-03-06,1277.060059,1306.219971,1261.050049,1298.410034,1298.410034,2660600
2020-03-09,1205.300049,1254.760010,1200.000000,1215.560059,1215.560059,3365400
2020-03-10,1260.000000,1281.150024,1218.770020,1280.390015,1280.390015,2611400
2020-03-11,1249.699951,1260.959961,1196.069946,1215.410034,1215.410034,2608500
2020-03-12,1126.000000,1193.869995,1113.300049,1114.910034,1114.910034,4226700
2020-03-13,1179.000000,1219.760010,1117.142944,1219.729980,1219.729980,3700100
2020-03-16,1096.000000,1152.266968,1074.439941,1084.329956,1084.329956,4252400
2020-03-17,1093.109985,1130.859985,1056.010010,1119.800049,1119.800049,3861500
2020-03-18,1056.510010,1106.500000,1037.280029,1096.800049,1096.800049,4233400
2020-03-19,1093.050049,1157.969971,1060.108032,1115.290039,1115.290039,3651100
2020-03-20,1135.719971,1143.989990,1065.489990,1072.319946,1072.319946,3601800
2020-03-23,1061.319946,1071.319946,1013.536011,1056.619995,1056.619995,4044100
2020-03-24,1103.770020,1135.000000,1090.619995,1134.459961,1134.459961,3344500
2020-03-25,1126.469971,1148.900024,1086.010010,1102.489990,1102.489990,4081500
2020-03-26,1111.800049,1169.969971,1093.530029,1161.750000,1161.750000,3571700
2020-03-27,1125.670044,1150.670044,1105.910034,1110.709961,1110.709961,3208500
2020-03-30,1125.040039,1151.630005,1096.479980,1146.819946,1146.819946,2574100
2020-03-31,1147.300049,1175.310059,1138.140015,1162.810059,1162.810059,2486400
2020-04-01,1122.000000,1129.689941,1097.449951,1105.619995,1105.619995,2344200
2020-04-02,1098.260010,1126.859985,1096.400024,1120.839966,1120.839966,1964900
2020-04-03,1119.015015,1123.540039,1079.810059,1097.880005,1097.880005,2313400
2020-04-06,1138.000000,1194.660034,1130.939941,1186.920044,1186.920044,2664700
2020-04-07,1221.000000,1225.000000,1182.229980,1186.510010,1186.510010,2387300
2020-04-08,1206.500000,1219.069946,1188.160034,1210.280029,1210.280029,1975100
2020-04-09,1224.079956,1225.569946,1196.734985,1211.449951,1211.449951,2175400
2020-04-13,1209.180054,1220.510010,1187.598022,1217.560059,1217.560059,1739800
